1/7/21, 1:00 PM
Project Statistics

                 	Segments	  Words	Characters (without spaces)	Characters (including spaces)	#Files	
Total:           	  116607	1173671	                    5706378	                      6758341	    93	
Remaining:       	    4673	  72968	                    4217118	                      5011344	    91
Unique:          	   45309	 620896	                    2970164	                      3541655	    93	
Unique Remaining:	    4574	  95135	                    2359063	                      2815838	    91


Individual File Statistics:

File Name                                                    	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
writer_guide60/WG6011-Images.odt                             	          1204	               251	            302	                      152	      11707	           3679	        5007	                  2471	                            56415	                                17801	                             23825	                                       11875	                              66936	                                  21265	                               28565	                                         14233	
writer_guide60/WG6012-Lists.odt                              	           520	               167	            240	                      134	       6485	           2937	        4174	                  2481	                            31300	                                13946	                             19849	                                       11710	                              37253	                                  16707	                               23780	                                         14060	
writer_guide60/WG6013-TablesOfData.odt                       	           730	               197	            179	                      107	       8619	           3051	        3023	                  1770	                            40284	                                14461	                             14225	                                        8339	                              48210	                                  17354	                               17099	                                         10032	
writer_guide60/WG6014-MailMerge.odt                          	           542	               174	            227	                      132	       5745	           2239	        3192	                  1800	                            27964	                                10911	                             15289	                                        8684	                              33161	                                  12983	                               18270	                                         10369	
writer_guide60/WG6015-TOCsIndexesBiblios.odt                 	           920	               291	            331	                      192	       9711	           4149	        5299	                  3131	                            47270	                                20005	                             25490	                                       15037	                              56081	                                  23897	                               30488	                                         18008	
writer_guide60/WG6016-MasterDocuments.odt                    	           578	               156	            161	                      106	       6291	           2376	        2718	                  1679	                            31061	                                11655	                             13125	                                        8126	                              36800	                                  13906	                               15704	                                          9722	
writer_guide60/WG6017-Fields.odt                             	           590	               165	            143	                       98	       6144	           2448	        2557	                  1610	                            30071	                                11939	                             12040	                                        7721	                              35639	                                  14242	                               14472	                                          9251	
writer_guide60/WG6018-Forms.odt                              	           641	               138	            142	                       79	       6056	           1733	        2022	                  1074	                            28477	                                 8400	                              9488	                                        5065	                              33894	                                  10010	                               11364	                                          6059	
writer_guide60/WG6019-SpreadsheetsChartsObjects.odt          	           510	                90	            228	                       76	       5549	           1509	        3705	                  1329	                            26524	                                 6888	                             17284	                                        5945	                              31588	                                   8323	                               20791	                                          7224	
writer_guide60/WG6020-SettingUpWriter.odt                    	           445	               109	            164	                       74	       4903	           2002	        2830	                  1306	                            25365	                                10261	                             14383	                                        6713	                              29849	                                  12187	                               17076	                                          7977	
writer_guide60/WG6021-CustomizingWriter.odt                  	           267	                65	             72	                       35	       2245	            795	        1051	                   481	                            11347	                                 3951	                              5065	                                        2357	                              13316	                                   4676	                                6047	                                          2808	
